ANO,ÍNDICE,MÊS,TEMP MÁX. MÉDIA (ºC) [MÊS-1],UMIDADE REL. MÉDIA (%) [MÊS-1],PRECIPITAÇÃO ACUMULADA (mm) [MÊS-1],VEL. MÉDIA VENTO (mps) [MÊS-1],ATING.
2006,2,1,31.119355,79.935484,336.7,0.952855,0.026710248133678
2006,2,2,33.112903,72.629032,174.5,1.292807,0.046629755216421
2006,2,3,31.453571,80.705357,313.8,0.963783,0.10638827646465
2006,2,4,31.13871,81.637097,402.9,0.846248,0.11815889428627
2006,2,5,30.256667,83.666667,403.8,0.643333,0.108199140744899
2006,2,6,31.645161,76.959677,156.3,0.925806,0.047535187356546
2006,2,7,33.106667,57.858333,0,1.801628,0.02127765529293
2006,2,8,34.106452,51.137097,0,1.701945,0.006790741050935
2006,2,9,36.435484,41.629032,1.7,2.184946,0.006790741050935
2006,2,10,36,53.508333,198.3,1.538913,0.01358148210187
2006,2,11,33.674194,71.983871,140.4,1.012903,0.064285681948852
2006,2,12,32.98,74.783333,131.6,0.988889,0.115442597865896
2007,3,1,32.732258,76.653226,226,0.956989,0.482661195385288
2007,3,2,32.609677,79.080645,365.1,0.93154,0.837509670041371
2007,3,3,30.135714,85.660714,583.2,1.05119,0.830222102631372
2007,3,4,33.058065,72.701613,209.1,0.848243,0.38904398327223
2007,3,5,32.823333,77.558333,84.2,0.53779,0.215263529649188
2007,3,6,34.503226,65.766129,34.3,0.783009,0.084087316269214
2007,3,7,34.606667,51.75,0,2.007448,0.022423284338457
2007,3,8,35.519355,46.112903,0,1.557187,0.004484656867691
2007,3,9,36.7,37.572581,0,2.62633,0.005045238976153
2007,3,10,37.323333,42.516667,55.1,2.372222,0.022983866446919
2007,3,11,35.990323,56.830645,80.9,0.962136,0.03531667283307
2007,3,12,33.246667,71.075,201.7,0.737778,0.038119583375377
2008,0,1,32.793548,74.33871,130.1,0.643011,0.299983696538232
2008,0,2,31.522581,80.129032,292.7,0.288172,0.322808543013967
2008,0,3,31.055172,82.241379,272.7,0.553703,0.24400847780012
2008,0,4,30.548387,83.419355,294.7,0.48172,0.213575349165806
2008,0,5,32.033333,79.575,238.2,0.545556,0.152165643171567
2008,0,6,33.274194,70.201613,34,0.452688,0.070104885604043
2008,0,7,34.43,55.4,0,1.151111,0.013586218140319
2008,0,8,34.63871,47.725806,0,1.368817,0.010325525786642
2008,0,9,36.532258,39.677419,0,1.517394,0.01195587196348
2008,0,10,38.253333,43.308333,12.1,1.646667,0.020651051573284
2008,0,11,37.277419,53.354839,98.9,1.433069,0.021194500298897
2008,0,12,32.603333,74.508333,298,0.592122,0.021194500298897
2009,1,1,31.53871,80.274194,169,0.663441,0.040287312147155
2009,1,2,33.067742,77.032258,160.1,0.554839,0.036576638659917
2009,1,3,31.478571,81.919643,353.8,0.525,0.06414164170797
2009,1,4,32.122581,81.508065,168.7,0.324588,0.069972700045058
2009,1,5,31.37,82.183333,130.4,0.324444,0.088526067481248
2009,1,6,31.474194,78.379032,285.1,0.258065,0.095947414455724
2009,1,7,33.71,66.208333,40.1,0.728889,0.06626202655782
2009,1,8,35.319355,52.483871,0,1.073118,0.04558827427178
2009,1,9,36.593548,45.66129,0.4,1.295699,0.04346788942193
2009,1,10,36.05,57.183333,80.7,0.86,0.023324233348353
2009,1,11,32.832258,76.782258,213.7,0.632258,0.075803758382146
2009,1,12,33.34,74.65,172,0.602222,0.124042513716239
2010,2,1,32.577419,77.475806,316.3,0.74086,0.187008391289876
2010,2,2,32.796667,78.975806,436.9,0.575269,0.193139813955118
2010,2,3,33.875,75.803571,206.1,0.534524,0.233869978802796
2010,2,4,33.183871,81.08871,462.5,0.662366,0.228176514899357
2010,2,5,34.91,70.083333,82.8,0.811111,0.17737329853021
2010,2,6,35.513333,66.58871,25.6,0.565591,0.081022370933553
2010,2,7,35.836667,53.05,0.2,1.55,0.025839566946376
2010,2,8,35.877419,46.282258,0,2.231183,0.010073051521469
2010,2,9,37.229032,36.5,0,1.787097,0.003065711332621
2010,2,10,38.503333,36.316667,18,2.217778,0.007445298950651
2010,2,11,35.590323,68.096774,222.1,1.151613,0.032408948373421
2010,2,12,32.92,75.766667,189.4,0.87,0.031095072088012
2011,3,1,31.932258,78.25,162,0.88172,0.118139013071784
2011,3,2,31.074194,83.177419,354.2,0.832258,0.11856397355046
2011,3,3,30.557143,84.821429,327.3,0.538095,0.189532373489265
2011,3,4,31.36129,83.830645,352.4,0.7,0.220554488432576
2011,3,5,32.513333,78.758333,218.8,0.926667,0.461082119362899
2011,3,6,33.958065,66.983871,9.8,0.682796,0.39138860086012
2011,3,7,35.006667,55.825,0,1.055556,0.205255911200258
2011,3,8,35.170968,49.443548,2.2,1.721505,0.136837274133506
2011,3,9,37.722581,41.040323,0,1.376344,0.119838854986486
