Data,VEL. MÉDIA VENTO (mps),VEL. MÁX. MÉDIA VENTO (mps),PRECIPITAÇÃO ACUMULADA (mm),TEMP MÁX. MÉDIA (ºC),TEMP. MIN. MÉDIA (ºC),UMIDADE REL. MÉDIA (%)
31/01/2000,1.295699,4.4,288.3,30.709677,21.670968,81.774194
29/02/2000,1.444828,4.4,526.7,30.124138,21.351724,84.723214
31/03/2000,1.736559,9.9,286.9,31.254839,21.787097,82.193548
30/04/2000,1.521111,4.4,134,31.633333,21.79,77.691667
31/05/2000,1.537634,4.4,42.2,33.706452,20.96129,64.314516
30/06/2000,2.002222,9.3,0,33.96,20.156667,54.422414
31/07/2000,2.252688,12.3,21.1,34.174194,19.993548,51.075
31/08/2000,2.319355,12.3,3.7,35.251613,21.619355,43.516129
30/09/2000,2.146667,12.3,46.3,34.356667,22.54,56.683333
31/10/2000,1.941935,12.3,142.4,34.045161,22.493548,65.540323
30/11/2000,1.715556,12.3,284.1,31.946667,22,74.577586
31/12/2000,1.911828,6.7,430.3,31.312903,22.029032,79.473214
31/01/2001,1.56129,4.4,234.4,31.777419,21.916129,77.766129
28/02/2001,1.69881,4.4,147.3,31.485714,21.807143,80.169643
31/03/2001,1.334409,4.4,387.5,31.380645,21.741935,83.024194
30/04/2001,1.145556,4.4,117.4,32.703333,21.78,74.741667
31/05/2001,1.656989,6.7,22.2,34.041935,21.7,70.717742
30/06/2001,1.72,12.3,1.2,34.056667,20.173333,56.758333
31/07/2001,2.233333,12.3,0,34.793548,19.819355,46.975
31/08/2001,3.167742,12.3,0,34.990323,21.029032,41.370968
30/09/2001,1.598889,9.3,129.1,35.103333,22.806667,56.033333
31/10/2001,1.324731,4.4,373.4,32.7,21.809677,78.314516
30/11/2001,1.26,4.4,420.4,32.24,21.94,81.966667
31/12/2001,1.384946,4.4,338.6,32,22.16129,82.467742
31/01/2002,1.572774,6.734,431.7,30.422581,22.196774,84.782258
28/02/2002,1.321687,4.4,195.1,32.792857,22.775,76.589286
31/03/2002,1.172043,4.4,233,32.064516,22.180645,81.419355
30/04/2002,1.454444,4.4,107.8,33.19,22.023333,74.208333
31/05/2002,1.390323,4.4,55,33.987097,21.464516,68.532258
30/06/2002,1.909727,6.68772,0,34.146667,20.493333,53.908333
31/07/2002,1.568553,6.68772,0,35.309677,20.906452,49.346774
31/08/2002,2.778785,12.34656,0,36.696774,21.596774,39.193548
30/09/2002,1.724825,12.34656,76.1,35.613333,22.81,52.066667
31/10/2002,1.477419,4.4,145,35.064516,22.267742,68.612903
30/11/2002,1.612543,4.4,214.5,34.69,22.476667,71.65
31/12/2002,1.766667,4.4,238.6,32.012903,22.467742,79.846774
31/01/2003,1.646547,4.4,487.1,32.719355,22.383871,79.846774
28/02/2003,1.553571,4.4,241.4,32.432143,22.371429,78.160714
31/03/2003,1.358065,4.4,236.8,31.53871,21.780645,83.33871
30/04/2003,1.496667,4.4,231.6,33.75,21.926667,76.433333
31/05/2003,1.735961,9.3,129.9,33.293548,21.619355,71.266129
30/06/2003,1.798889,9.3,0,34.456667,18.7,55.866667
31/07/2003,2.530108,9.3,0,34.674194,19.051613,47.645161
31/08/2003,1.852711,6.7,18.6,36.322581,21.367742,49.024194
30/09/2003,1.891954,12.3,22.6,37.196667,23.473333,48.666667
31/10/2003,1.727503,4.4,179.6,33.890323,22.706667,68.983871
30/11/2003,1.414444,4.4,303.1,31.85,22.256667,77.716667
31/12/2003,1.650538,6.7,193,32.035484,22.219355,77.701613
31/01/2004,1.675269,4.4,490.7,30.690323,22.451613,83.5
29/02/2004,1.534483,6.7,204.5,30.496552,22.503448,83.775862
31/03/2004,1.426882,4.4,299.4,31.551613,22.632258,81.895161
30/04/2004,1.206667,2.4,246.9,32.686667,22.56,78.05
31/05/2004,1.730108,6.7,2.3,34.587097,22.474194,65.33871
30/06/2004,1.982222,9.3,27.4,34.243333,20.423333,56.266667
31/07/2004,1.94086,12.3,0,34.516129,20.245161,49.895161
31/08/2004,2.098327,12.3,0,36.196774,20.813333,43.16129
30/09/2004,2.215556,7.7,41.8,37.186667,23.9,41.716667
