ANO,ÍNDICE,MÊS,MÊS,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,NOTIF. [MES-0],NOTIF. [MES-1],NOTIF. [MES-2],NOTIF. [MES-3],POP.,ATING. [MES-0],ATING. [MES-1],ATING. [MES-2],ATING. [MES-3],TEMP MÁX. MÉDIA (ºC) [MÊS-0],TEMP MÁX. MÉDIA (ºC) [MÊS-1],TEMP MÁX. MÉDIA (ºC) [MÊS-2],TEMP MÁX. MÉDIA (ºC) [MÊS-3],TEMP. MIN. MÉDIA (ºC) [MÊS-0],TEMP. MIN. MÉDIA (ºC) [MÊS-1],TEMP. MIN. MÉDIA (ºC) [MÊS-2],TEMP. MIN. MÉDIA (ºC) [MÊS-3],UMIDADE REL. MÉDIA (%) [MÊS-0],UMIDADE REL. MÉDIA (%) [MÊS-1],UMIDADE REL. MÉDIA (%) [MÊS-2],UMIDADE REL. MÉDIA (%) [MÊS-3],PRECIPITAÇÃO ACUMULADA (mm) [MÊS-0],PRECIPITAÇÃO ACUMULADA (mm) [MÊS-1],PRECIPITAÇÃO ACUMULADA (mm) [MÊS-2],PRECIPITAÇÃO ACUMULADA (mm) [MÊS-3],VEL. MÉDIA VENTO (mps) [MÊS-0],VEL. MÉDIA VENTO (mps) [MÊS-1],VEL. MÉDIA VENTO (mps) [MÊS-2],VEL. MÉDIA VENTO (mps) [MÊS-3],VEL. MÁX. MÉDIA VENTO (mps) [MÊS-0],VEL. MÁX. MÉDIA VENTO (mps) [MÊS-1],VEL. MÁX. MÉDIA VENTO (mps) [MÊS-2],VEL. MÁX. MÉDIA VENTO (mps) [MÊS-3]
2000,0,outubro,10,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,34.045161,,,,22.493548,,,,65.540323,,,,142.4,,,,1.941935,,,,12.3,,,
2000,0,novembro,11,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,31.946667,34.045161,,,22,22.493548,,,74.577586,65.540323,,,284.1,142.4,,,1.715556,1.941935,,,12.3,12.3,,
2000,0,dezembro,12,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,31.312903,31.946667,34.045161,,22.029032,22,22.493548,,79.473214,74.577586,65.540323,,430.3,284.1,142.4,,1.911828,1.715556,1.941935,,6.7,12.3,12.3,
2001,1,Janeiro,1,1,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,150884,0.196839956522892,0,0,0,31.777419,31.312903,31.946667,34.045161,21.916129,22.029032,22,22.493548,77.766129,79.473214,74.577586,65.540323,234.4,430.3,284.1,142.4,1.56129,1.911828,1.715556,1.941935,4.4,6.7,12.3,12.3
2001,1,fevereiro,2,0,1,0,0,0,0,0,0,0,0,0,0,207,297,0,0,150884,0.137191484849288,0.196839956522892,0,0,31.485714,31.777419,31.312903,31.946667,21.807143,21.916129,22.029032,22,80.169643,77.766129,79.473214,74.577586,147.3,234.4,430.3,284.1,1.69881,1.56129,1.911828,1.715556,4.4,4.4,6.7,12.3
2001,1,março,3,0,0,1,0,0,0,0,0,0,0,0,0,228,207,297,0,150884,0.151109461573129,0.137191484849288,0.196839956522892,0,31.380645,31.485714,31.777419,31.312903,21.741935,21.807143,21.916129,22.029032,83.024194,80.169643,77.766129,79.473214,387.5,147.3,234.4,430.3,1.334409,1.69881,1.56129,1.911828,4.4,4.4,4.4,6.7
2001,1,abril,4,0,0,0,1,0,0,0,0,0,0,0,0,170,228,207,297,150884,0.112669335383473,0.151109461573129,0.137191484849288,0.196839956522892,32.703333,31.380645,31.485714,31.777419,21.78,21.741935,21.807143,21.916129,74.741667,83.024194,80.169643,77.766129,117.4,387.5,147.3,234.4,1.145556,1.334409,1.69881,1.56129,4.4,4.4,4.4,4.4
2001,1,maio,5,0,0,0,0,1,0,0,0,0,0,0,0,154,170,228,207,150884,0.102065162641499,0.112669335383473,0.151109461573129,0.137191484849288,34.041935,32.703333,31.380645,31.485714,21.7,21.78,21.741935,21.807143,70.717742,74.741667,83.024194,80.169643,22.2,117.4,387.5,147.3,1.656989,1.145556,1.334409,1.69881,6.7,4.4,4.4,4.4
2001,1,junho,6,0,0,0,0,0,1,0,0,0,0,0,0,77,154,170,228,150884,0.05103258132075,0.102065162641499,0.112669335383473,0.151109461573129,34.056667,34.041935,32.703333,31.380645,20.173333,21.7,21.78,21.741935,56.758333,70.717742,74.741667,83.024194,1.2,22.2,117.4,387.5,1.72,1.656989,1.145556,1.334409,12.3,6.7,4.4,4.4
2001,1,julho,7,0,0,0,0,0,0,1,0,0,0,0,0,26,77,154,170,150884,0.017231780705708,0.05103258132075,0.102065162641499,0.112669335383473,34.793548,34.056667,34.041935,32.703333,19.819355,20.173333,21.7,21.78,46.975,56.758333,70.717742,74.741667,0,1.2,22.2,117.4,2.233333,1.72,1.656989,1.145556,12.3,12.3,6.7,4.4
