ANO,MÊS,NOTIF.,POP.,ATING.,TEMP MÁX. MÉDIA (ºC),TEMP. MIN. MÉDIA (ºC),UMIDADE REL. MÉDIA (%),PRECIPITAÇÃO ACUMULADA (mm),VEL. MÉDIA VENTO (mps),VEL. MÁX. MÉDIA VENTO (mps)
2001,1,297,150884,0.196839956522892,31.777419,21.916129,77.766129,234.4,1.56129,4.4
2001,2,207,150884,0.137191484849288,31.485714,21.807143,80.169643,147.3,1.69881,4.4
2001,3,228,150884,0.151109461573129,31.380645,21.741935,83.024194,387.5,1.334409,4.4
2001,4,170,150884,0.112669335383473,32.703333,21.78,74.741667,117.4,1.145556,4.4
2001,5,154,150884,0.102065162641499,34.041935,21.7,70.717742,22.2,1.656989,6.7
2001,6,77,150884,0.05103258132075,34.056667,20.173333,56.758333,1.2,1.72,12.3
2001,7,26,150884,0.017231780705708,34.793548,19.819355,46.975,0,2.233333,12.3
2001,8,24,150884,0.015906259112961,34.990323,21.029032,41.370968,0,3.167742,12.3
2001,9,15,150884,0.009941411945601,35.103333,22.806667,56.033333,129.1,1.598889,9.3
2001,10,21,150884,0.013917976723841,32.7,21.809677,78.314516,373.4,1.324731,4.4
2001,11,135,150884,0.089472707510405,32.24,21.94,81.966667,420.4,1.26,4.4
2001,12,84,150884,0.055671906895363,32,22.16129,82.467742,338.6,1.384946,4.4
2002,1,110,161137,0.068264892606912,30.422581,22.196774,84.782258,431.7,1.572774,6.734
2002,2,128,161137,0.079435511397134,32.792857,22.775,76.589286,195.1,1.321687,4.4
2002,3,61,161137,0.037855985900197,32.064516,22.180645,81.419355,233,1.172043,4.4
2002,4,59,161137,0.036614806034617,33.19,22.023333,74.208333,107.8,1.454444,4.4
2002,5,26,161137,0.016135338252543,33.987097,21.464516,68.532258,55,1.390323,4.4
2002,6,23,161137,0.014273568454173,34.146667,20.493333,53.908333,0,1.909727,6.68772
2002,7,10,161137,0.006205899327901,35.309677,20.906452,49.346774,0,1.568553,6.68772
2002,8,7,161137,0.004344129529531,36.696774,21.596774,39.193548,0,2.778785,12.34656
2002,9,10,161137,0.006205899327901,35.613333,22.81,52.066667,76.1,1.724825,12.34656
2002,10,31,161137,0.019238287916494,35.064516,22.267742,68.612903,145,1.477419,4.4
2002,11,77,161137,0.047785424824839,34.69,22.476667,71.65,214.5,1.612543,4.4
2002,12,67,161137,0.041579525496937,32.012903,22.467742,79.846774,238.6,1.766667,4.4
2003,1,102,172176,0.059241706161138,32.719355,22.383871,79.846774,487.1,1.646547,4.4
2003,2,109,172176,0.063307313446706,32.432143,22.371429,78.160714,241.4,1.553571,4.4
2003,3,77,172176,0.044721680141251,31.53871,21.780645,83.33871,236.8,1.358065,4.4
2003,4,192,172176,0.111513799832729,33.75,21.926667,76.433333,231.6,1.496667,4.4
2003,5,145,172176,0.084216150915343,33.293548,21.619355,71.266129,129.9,1.735961,9.3
2003,6,29,172176,0.016843230183069,34.456667,18.7,55.866667,0,1.798889,9.3
2003,7,8,172176,0.004646408326364,34.674194,19.051613,47.645161,0,2.530108,9.3
2003,8,0,172176,0,36.322581,21.367742,49.024194,18.6,1.852711,6.7
2003,9,0,172176,0,37.196667,23.473333,48.666667,22.6,1.891954,12.3
2003,10,2,172176,0.001161602081591,33.890323,22.706667,68.983871,179.6,1.727503,4.4
2003,11,4,172176,0.002323204163182,31.85,22.256667,77.716667,303.1,1.414444,4.4
2003,12,13,172176,0.007550413530341,32.035484,22.219355,77.701613,193,1.650538,6.7
2004,1,4,187639,0.002131752993781,30.690323,22.451613,83.5,490.7,1.675269,4.4
2004,2,3,187639,0.001598814745335,30.496552,22.503448,83.775862,204.5,1.534483,6.7
2004,3,0,187639,0,31.551613,22.632258,81.895161,299.4,1.426882,4.4
2004,4,0,187639,0,32.686667,22.56,78.05,246.9,1.206667,2.4
2004,5,0,187639,0,34.587097,22.474194,65.33871,2.3,1.730108,6.7
2004,6,1,187639,0.000532938248445,34.243333,20.423333,56.266667,27.4,1.982222,9.3
2004,7,4,187639,0.002131752993781,34.516129,20.245161,49.895161,0,1.94086,12.3
2004,8,1,187639,0.000532938248445,36.196774,20.813333,43.16129,0,2.098327,12.3
2004,9,0,187639,0,37.186667,23.9,41.716667,41.8,2.215556,7.7
2004,10,1,187639,0.000532938248445,33.587097,22.680645,70.887097,160.2,1.174194,4.8
2004,11,0,187639,0,33.23,22.776667,74.316667,172.1,1.202222,4.4
2004,12,3,187639,0.001598814745335,32.696774,22.374194,76.064516,249.9,1.012903,4
